date,sales
2023-01-01,142
2023-01-02,127
2023-01-05,140
2023-01-06,133
2023-01-07,144
2023-01-10,127
2023-01-11,130
2023-01-14,135
2023-01-15,114
2023-01-22,139
2023-01-26,144
2023-01-29,141
2023-02-01,142
2023-02-02,148
2023-02-04,155
2023-02-05,149
2023-02-07,138
2023-02-08,147
2023-02-11,131
2023-02-19,152
2023-02-20,140
2023-02-22,135
2023-02-25,136
2023-02-28,140
2023-03-01,152
2023-03-04,140
2023-03-08,140
2023-03-09,141
2023-03-12,140
2023-03-15,133
2023-03-17,155
2023-03-22,148
2023-03-25,138
2023-03-29,146
2023-03-30,140
2023-03-31,142
2023-04-02,154
2023-04-03,139
2023-04-04,136
2023-04-06,139
2023-04-07,133
2023-04-10,139
2023-04-12,144
2023-04-13,140
2023-04-16,151
2023-04-20,142
2023-04-21,145
2023-04-27,140
2023-05-01,130
2023-05-05,150
2023-05-06,139
2023-05-11,146
2023-05-13,143
2023-05-14,119
2023-05-16,129
2023-05-19,110
2023-05-21,127
2023-05-27,141
2023-05-30,125
2023-05-31,127
2023-06-01,116
2023-06-03,131
2023-06-04,114
2023-06-10,134
2023-06-11,118
2023-06-13,121
2023-06-14,126
2023-06-16,130
2023-06-21,128
2023-06-25,118
2023-06-26,117
2023-06-28,123
2023-06-30,121
2023-07-01,107
2023-07-02,111
2023-07-05,112
2023-07-07,108
2023-07-08,93
2023-07-10,106
2023-07-11,102
2023-07-12,107
2023-07-20,116
2023-07-21,114
2023-07-26,110
2023-07-27,112
2023-07-28,96
2023-08-03,100
2023-08-04,101
2023-08-09,93
2023-08-12,85
2023-08-14,93
2023-08-15,108
2023-08-18,97
2023-08-19,97
2023-08-20,111
2023-08-23,103
2023-08-26,105
2023-08-27,106
2023-08-28,92
2023-09-03,102
2023-09-06,100
2023-09-10,77
2023-09-11,105
2023-09-12,117
2023-09-14,100
2023-09-19,98
2023-09-20,102
2023-09-23,102
2023-09-24,97
2023-09-26,93
2023-09-27,99
2023-10-04,108
2023-10-05,99
2023-10-08,76
2023-10-09,81
2023-10-13,93
2023-10-15,110
2023-10-16,101
2023-10-18,100
2023-10-24,89
2023-10-25,100
2023-10-26,81
2023-10-27,102
2023-11-02,109
2023-11-04,104
2023-11-07,121
2023-11-09,94
2023-11-10,102
2023-11-11,96
2023-11-12,111
2023-11-15,104
2023-11-16,125
2023-11-20,108
2023-11-25,106
2023-11-26,113
2023-11-28,102
2023-12-02,109
2023-12-04,126
2023-12-08,117
2023-12-09,106
2023-12-12,119
2023-12-17,115
2023-12-19,106
2023-12-21,122
2023-12-22,112
2023-12-24,126
2023-12-26,113
2023-12-27,128
2023-12-28,123
2023-12-31,121
